,state,n_killed,population,murder_rate
0,California,5562,39557045,14.060706506262033
1,Texas,5046,28701845,17.580751341943348
2,Florida,3909,21299325,18.352694275522815
3,Illinois,3409,12741080,26.755973590935774
4,Ohio,2508,11689442,21.45525851447828
5,Georgia,2456,10519475,23.347172743886933
6,Pennsylvania,2395,12807060,18.70062293766095
7,North Carolina,2225,10383620,21.42797983747479
8,Louisiana,2179,4659978,46.759877407146554
9,Missouri,2136,6126452,34.865204199755425
10,Alabama,1880,4887871,38.462553533020824
11,Tennessee,1824,6770010,26.94235311321549
12,New York,1705,19542209,8.724704561290897
13,Maryland,1691,6042718,27.984095898567496
14,South Carolina,1610,5084127,31.66718691330881
15,Indiana,1608,6691878,24.029129042699225
16,Michigan,1588,9995915,15.886489631014271
17,Virginia,1459,8517685,17.129067346350563
18,Mississippi,1176,2986530,39.37680184026278
19,New Jersey,1168,8908520,13.111044258754541
20,Arizona,1094,7171646,15.254517582156174
21,Kentucky,1066,4468402,23.856403251095134
22,Oklahoma,941,3943079,23.864599212950083
23,Wisconsin,862,5813568,14.827383114810045
24,Washington,853,7535591,11.319616470692214
25,Nevada,799,3034392,26.33146936849293
26,Colorado,796,5695564,13.975788877098035
27,Arkansas,773,3013825,25.648469967566133
28,Kansas,542,2911505,18.61580179323065
29,New Mexico,495,2095428,23.622858909969707
30,Massachusetts,472,6902149,6.838449879885236
31,Minnesota,461,5611179,8.215742181812415
32,District of Columbia,459,702455,65.3422639172616
33,Oregon,446,4190713,10.642580391451288
34,Connecticut,341,3572665,9.544695626374148
35,West Virginia,335,1805832,18.551005852150144
36,Utah,282,3161105,8.920931130095331
37,Iowa,273,3156145,8.649792705975168
38,Alaska,267,737438,36.20643362560649
39,Nebraska,225,1929268,11.662454360928601
40,Delaware,217,967171,22.436570161843147
41,Idaho,166,1754208,9.462959922654555
42,Montana,154,1062305,14.49677823224027
43,Maine,112,1338404,8.36817582732867
44,South Dakota,90,882235,10.201363582265495
45,New Hampshire,88,1356458,6.487484315769453
46,Wyoming,73,577737,12.635507159832242
47,North Dakota,69,760077,9.078027620885779
48,Rhode Island,63,1057315,5.95848919196266
49,Hawaii,63,1420491,4.435086177948329
50,Vermont,57,626299,9.101084306377626
